"Грэм Б.: Разумный инвестор: Полное руководство по стоимостному инвестированию","10300","100","1"," Деловая литература"," Альпина Паблишер"," 12+","2017"," Русский"
"Ньоне Э.: W.I.T.C.H. Часть 1. Двенадцать порталов. Том 3","2600","0","0"," Комиксы детские"," Комильфо"," 12+"," 2021"," Русский"
"Исида С.: Токийский гуль: re. Кн. 5","1390","0","0"," Манга"," Азбука"," 18+"," 2021"," Русский"
"Миура Кэнтаро: Берсерк. Том 3","7500","100","2"," Манга"," XL Media"," 18+"," 2021"," Русский"
"Карин Е.: Операция ""Жусан""","2950","0","0"," Публицистика",," 16+"," 2020"," Русский"
"Солье А.: Таро Ленорман. Будущее в ваших руках! 36 карты и руководство для гадания и предсказания судьбы","3390","0","0"," Эзотерика"," АСТ"," 16+"," 2020"," Русский"
"Кэрролл Л.: Алиса в Стране чудес и в Зазеркалье. Всемирная литература (новое оформление)","2900","0","0"," Всемирная классика"," Эксмо"," 12+"," 2020"," Русский"
"Розанес К.: Хрупкий мир. Экстремальные раскраски","5850","0","0"," Дом, быт, досуг",," 12+"," 2021"," Русский"
"Вергилий: Энеида. Эксклюзивная классика","8530","0","0"," Поэзия"," Neoclassic"," 16+"," 2021"," Русский"
"Трынкина Д.: Японская демонология","1550","100","1"," Культура, искусство"," ЛомоносовЪ"," 16+"," 2020"," Русский"
"Лаво К., Фролова Н.: Расклады на картах Таро. Практическое руководство","1290","100","1"," Эзотерика"," Эксмо"," 16+"," 2020"," Русский"
"Герберт Б., Андерсон К. Дж.: Навигаторы Дюны","1050","0","0"," фантастика"," Neoclassic"," 16+"," 2021"," Русский"
"Сауытбай Р.: Шоко әлем.Тылсым Эллипсаһар","4550","0","0"," Казахстанская детская литература",," 12+"," 2020"," Казахский"
"Конрад Дж.: Сердце тьмы. Эксклюзивная классика","2285","0","0"," Всемирная классика"," Neoclassic"," 12+"," 2021"," Русский"
"Такэути Н.: Набор манги Sailor Moon. Коллекционный бокс Часть 1. Тома 1-6.","2590","0","1"," Манга",," 12+"," 2021"," Русский"
"Итагаки Пару: Beastars. Выдающиеся звери. Том 1","6650","0","0"," Манга"," АСТ"," 18+"," 2021"," Русский"
"Горман З.: Рик и Морти против Dungeons & Dragons. Часть II. Всё идёт по планам","4460","0","0"," Комиксы, графические романы"," Комильфо"," 18+"," 2021"," Русский"
"Нұршайықов Ә.: Ақиқат пен аңыз","2545","0","0"," Казахская Классика"," Qasym баспа үйі"," 12+"," 2021"," Казахский"
"Брандис К.: Опасные волны (#3)","2280","0","0"," Детская литература"," Эксмо"," 12+"," 2021"," Русский"
"Жукова О. С.: Нейрологопедические прописи: учим буквы","5750","0","0"," Развивающая литература"," Малыш"," 0+"," 2021"," Русский"
"Лиман А.: Крайон. Деньги - это энергия! Научитесь ею управлять. 2-е изд.","9650","0","0"," Эзотерика"," АСТ"," 16+"," 2021"," Русский"
"Ли С.: Тревожные истории #52. Первое появление Чёрной Вдовы","5190","0","0"," Комиксы, графические романы"," Комильфо"," 16+"," 2021"," Русский"
"Иноуэ Кэндзи, Есиока Кимитакэ: Необьятный океан. Том 3","1750","0","0"," Манга"," Фантастика"," 18+"," 2021"," Русский"
"Кэрролл Л.: Ғажайыптар еліндегі Алиса","1990","0","0"," Детская литература"," Мазмұндама"," 6+"," 2021"," Казахский"
